partition,class,feature,n,mean,std,min,p50,p99,max
seed_train,all,flow_duration,360257,40427317.24240473,46576661.305018984,1.0,6018206.0,118813738.68,119999993.0
seed_train,all,fwd_packets,360257,12.431900004718853,198.9937738093619,1.0,6.0,103.0,112141.0
seed_train,all,bwd_packets,360257,13.44565962632232,276.69515795252426,0.0,6.0,135.0,157388.0
seed_train,all,fwd_bytes,360257,1141.2842581823531,6059.291359193272,0.0,368.0,12017.440000000002,909229.0
seed_train,all,bwd_bytes,360257,16175.268347318719,686594.3845588032,0.0,3546.0,199389.04000000004,399000000.0
seed_train,all,fwd_pkt_len_max,360257,420.5501294908912,750.6412905046125,0.0,326.0,3441.0,24820.0
seed_train,all,fwd_pkt_len_min,360257,12.31212995167339,39.23698272938576,0.0,0.0,71.0,2325.0
seed_train,all,fwd_pkt_len_mean,360257,88.79232189859077,166.9564903777774,0.0,53.0,737.9533333520002,5940.857143
seed_train,all,bwd_pkt_len_max,360257,2195.2172227049023,2573.3834655083624,0.0,1430.0,10136.0,19530.0
seed_train,all,bwd_pkt_len_min,360257,31.0104703031447,65.82457333640475,0.0,0.0,242.0,2146.0
seed_train,all,bwd_pkt_len_mean,360257,718.1106372808763,781.7518652757844,0.0,319.6666667,2319.0,3865.0
seed_train,all,flow_bytes_per_s,360257,318074.3453930707,8948004.600068275,0.0,511.5022718,2524612.193120001,2071000000.0
seed_train,all,flow_pkts_per_s,360257,4262.19643656765,50736.88457238886,0.016708894,2.3375878991,41322.3140495868,3000000.0
seed_train,all,flow_iat_mean,360257,3048775.371327898,5277843.390586745,0.5,470182.2683,29700000.0,120000000.0
seed_train,all,flow_iat_std,360257,8317649.539818913,12430099.570765581,0.0,1541153.748,51000000.0,84800000.0
seed_train,all,flow_iat_max,360257,26699906.195302244,38026398.224210694,1.0,5418453.0,102000000.0,120000000.0
seed_train,all,flow_iat_min,360257,26836.112072770273,823887.5780831906,0.0,3.0,262151.32,120000000.0
seed_train,all,fwd_iat_mean,360257,6842839.321789427,14217341.757757856,0.0,737133.75,86865927.36000015,120000000.0
seed_train,all,bwd_iat_mean,360257,4578289.942592256,13766075.519658288,0.0,30959.4,86541292.08000006,120000000.0
seed_train,all,syn_flag_count,360257,0.03135539351074372,0.17427631166779417,0.0,0.0,1.0,1.0
seed_train,all,psh_flag_count,360257,0.4615427319941042,0.49851884471654906,0.0,0.0,1.0,1.0
seed_train,all,ack_flag_count,360257,0.20971972786094373,0.40710854032662525,0.0,0.0,1.0,1.0
seed_train,all,down_up_ratio,360257,0.5826035302575662,0.5619088184091231,0.0,1.0,2.0,10.0
seed_train,all,pkt_size_avg,360257,403.699450386449,393.9187148919309,0.0,221.9807692,1332.555556,3050.0
seed_train,benign,flow_duration,267323,28959520.829438545,43421389.40393322,1.0,1614495.0,119096723.43999997,119999993.0
seed_train,benign,fwd_packets,267323,14.49774617223359,230.95649043473273,1.0,6.0,129.0,112141.0
seed_train,benign,bwd_packets,267323,16.01814284592048,321.1655187461016,0.0,5.0,175.0,157388.0
