scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,rf,2,0.01,0,fixed,0.47122973998206774,28515,0,0.0,0.008420895744839407,0.8790545637415137,0.9686893876420061,0.9216978644872131,0.9897558831977514,13306,113,481,3496,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9479500891265598,2805,0.9965277777777778,576,0.4412751677852349,596,,synthetic
s0,rf,2,0.01,0,recalibrated,0.42629547698290404,28515,0,0.0,0.009985840971756465,0.8898667337188836,0.9635175605771849,0.9252287581699347,0.9897558831977514,13285,134,438,3539,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9525846702317291,2805,0.9982638888888888,576,0.4899328859060403,596,,synthetic
s0,rf,2,0.01,1,fixed,0.47122973998206774,28529,14,0.0004907287321672684,0.009017065355093523,0.8795574553683682,0.9665653495440729,0.9210110584518167,0.9921077606926165,13298,121,479,3498,14,953.1322047114372,122862.3724822998,31.4750239765625,14,953.1322047114372,122862.3724822998,31.4750239765625,True,False,0.9468805704099822,2805,0.9982638888888888,576,0.44798657718120805,596,,synthetic
s0,rf,2,0.01,1,recalibrated,0.45473614904705123,28529,14,0.0004907287321672684,0.009985840971756465,0.8840834800100579,0.9632876712328767,0.9219876753638391,0.9921077606926165,13285,134,461,3516,14,953.1322047114372,122862.3724822998,31.4750239765625,14,953.1322047114372,122862.3724822998,31.4750239765625,True,False,0.9479500891265598,2805,0.9982638888888888,576,0.47315436241610737,596,,synthetic
s0,rf,2,0.01,2,fixed,0.47122973998206774,28544,29,0.0010159753363228699,0.008346374543557642,0.8803117928086497,0.9690008303349017,0.9225296442687747,0.9919340121789416,13307,112,476,3501,29,1237.17285323143,325055.91959095,89.20104040625,15,284.0406485199928,202193.5471086502,57.7260164296875,True,False,0.9454545454545454,2805,0.9965277777777778,576,0.46140939597315433,596,,synthetic
s0,rf,2,0.01,2,recalibrated,0.4237647227123992,28544,29,0.0010159753363228699,0.009985840971756465,0.8908725169725924,0.9635572477563231,0.9257904363731383,0.9919340121789416,13285,134,434,3543,29,1237.17285323143,325055.91959095,89.20104040625,15,284.0406485199928,202193.5471086502,57.7260164296875,True,False,0.9515151515151515,2805,0.9982638888888888,576,0.5016778523489933,596,,synthetic
s0,rf,2,0.01,3,fixed,0.47122973998206774,28558,43,0.001505707682610827,0.00782472613458529,0.9187830022630123,0.9720670391061452,0.9446742502585316,0.9941339709814779,13314,105,323,3654,43,1657.4384054988623,454130.95176029205,124.30911170312501,14,420.2655522674322,129075.03216934204,35.108071296875,True,False,0.9433155080213904,2805,0.9965277777777778,576,0.7281879194630873,596,,synthetic
s0,rf,2,0.01,3,recalibrated,0.4126625112442494,28558,43,0.001505707682610827,0.009985840971756465,0.9373899924566256,0.9653029518384257,0.9511417272611303,0.9941339709814779,13285,134,249,3728,43,1657.4384054988623,454130.95176029205,124.30911170312501,14,420.2655522674322,129075.03216934204,35.108071296875,True,False,0.950445632798574,2805,1.0,576,0.8154362416107382,596,,synthetic
s0,rf,2,0.01,4,fixed,0.47122973998206774,28573,58,0.0020298883561404124,0.007526641329458231,0.9165199899421674,0.9730379071009077,0.9439337045189693,0.9937617491049726,13318,101,332,3645,58,2166.7581100314856,1436782.5101995468,215.32983370312502,15,509.3197045326233,982651.5584392548,91.020722,True,False,0.9422459893048128,2805,0.9947916666666666,576,0.7197986577181208,596,,synthetic
s0,rf,2,0.01,4,recalibrated,0.4167211442150636,28573,58,0.0020298883561404124,0.009985840971756465,0.935378425949208,0.9652309289050337,0.9500702336866299,0.9937617491049726,13285,134,257,3720,58,2166.7581100314856,1436782.5101995468,215.32983370312502,15,509.3197045326233,982651.5584392548,91.020722,True,False,0.9497326203208556,2805,0.9947916666666666,576,0.8104026845637584,596,,synthetic
