feature,BENIGN,Bot,DDoS,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack Brute Force
flow_duration,4984059.809518869,2415049.755743478,1582579.593997056,1959593.9639383461,32021157.02221004,94303.41389232202,3080244.2159276963,12124737.055573175
fwd_packets,12.022361145746855,5.998588292750964,73.25838916748376,26.96984741676079,11.785065258913349,1.8309117515520728,21.14543198496871,24.18592776589733
bwd_packets,9.9957909133429,4.776259199022544,2.927026714734199,10.057255248899303,85.29876331254933,1.0306972001258408,17.96208198634918,9.922735422071467
fwd_bytes,1200.88334781704,454.4228112717837,9585.741042765354,1934.8819541318896,1152.7909868646175,60.21957474957445,3096.5590746333232,6006.951148749748
bwd_bytes,3964.1552473676834,3974.6423661333897,3917.8450131192126,1181.2247243462627,82633.79374608565,209.85881337631142,4094.578673300773,3869.1787559291847
fwd_pkt_len_max,398.75273352385784,403.3857660503115,398.38941637827526,405.0171126425435,384.1955172594858,421.9848339192467,395.1799535621112,1633.30445928187
fwd_pkt_len_min,39.81433764906071,39.45735481923859,39.84600536302323,39.60618754713035,39.07882102957647,40.01601959220225,40.43178661934071,40.82832461122442
fwd_pkt_len_mean,119.9387762049088,121.67342363287835,122.46958061441819,118.452191741987,121.96270889332902,124.76753640455645,125.36536699219653,121.19727781455748
bwd_pkt_len_max,900.5133142645044,926.138033152812,900.7578423127427,910.2457152278505,905.4800794853211,893.9951282886423,903.3016839405904,887.2795410935851
bwd_pkt_len_min,40.06036903249737,40.780665360072106,39.87203499159479,39.83433207683327,40.07886148273096,40.79466402901399,39.083715410241176,41.09384912475596
bwd_pkt_len_mean,349.27686520347305,349.20139217571125,347.03249196952675,350.0240713738692,355.6815818246689,336.6367480211906,335.3698785543155,355.94913335616394
flow_bytes_per_s,3423.9833166400276,5817.452929574656,27913.870670125583,5143.5170731393555,9550.908021212987,10032.762116404983,8087.634896472114,2648.678846669911
flow_pkts_per_s,14.671768275899908,14.011213904343029,160.8069527056747,63.8300788854084,10.392216873731298,101.84958268405893,43.61982942734181,8.966893795348756
flow_iat_mean,403406.41059157706,397916.0254188406,377090.2676261263,422294.5269631176,409837.19591340347,8658.40853075781,409660.80483754975,411508.1556487364
flow_iat_std,501136.8677681658,102508.0920229121,517401.47869418917,516220.8974458022,502424.5956360567,531670.5735114908,502377.06240666076,544320.721144223
flow_iat_max,1504814.341310606,1494388.1306176502,1519214.8120456208,1565991.8248634697,1567587.0891363854,1441162.6262068134,1475888.2343673878,1587059.1333335515
flow_iat_min,4991.820152608036,4889.518038628005,4963.264811112071,4825.253876103771,4854.446902805157,5117.219447189606,4882.139813842807,4747.708189155346
fwd_iat_mean,601975.9363302694,561483.111539029,578224.978579428,584436.6820343415,565230.7184500656,601640.6124497916,580635.5399783943,607743.0276622268
bwd_iat_mean,605997.1348280833,562708.4782915636,605289.9451967742,606586.4620520003,623943.4596049882,664597.9948152469,633701.878776581,609906.530571045
syn_flag_count,1.007141716624813,0.9876632801161103,10.094522889663935,6.008701957940537,1.004360465116279,12.11615748228391,6.001446131597976,0.9939711112174652
psh_flag_count,3.0153721095643844,1.034833091436865,4.117779887901982,3.0297316896301667,3.0530523255813953,0.0,3.0209689081706435,11.973629180691939
ack_flag_count,14.985252064856077,6.095065312046444,15.177046834710927,14.908629441624365,80.34665697674419,0.0,40.155459146782356,15.042959998319025
down_up_ratio,1.4006103842379247,1.417278129067177,1.4262213390538363,1.3838980527261056,6.905802655797542,1.3808679566230493,1.3581472691020033,1.3860099911814525
pkt_size_avg,300.42376846872014,299.0423350614037,589.7163576342493,305.49386246984164,308.97102485617944,59.81878437820424,310.62988189655937,299.1557062128215
