,,,tpr_seen_both,tpr_seen_both,tpr_seed_only,tpr_seed_only,tpr_honeypot_only,tpr_honeypot_only,fpr,fpr,tpr,tpr
,,,mean,std,mean,std,mean,std,mean,std,mean,std
model,scenario,target_poison_ratio,,,,,,,,,,
rf,control,0.0,0.9457397504456327,0.004738985819524456,0.9979166666666666,0.0014525347682883389,0.3902684563758389,0.06052606712471506,0.0087487890304791,0.0016203863685731368,0.8700528036208197,0.012372564930299482
rf,s0,0.005,0.9480926916221033,0.002553440938248865,0.9965277777777779,0.0021262931794993,0.8006711409395972,0.05888520766403021,0.00879350175124818,0.0015208533893702044,0.9330148353029921,0.008817828611476142
rf,s0,0.01,0.9495900178253119,0.004672816364438037,0.9954861111111111,0.001979471224130395,0.885234899328859,0.04733209283664466,0.00944928832252772,0.0016381109369144066,0.9465929092280613,0.010386568852839964
rf,s0,0.02,0.9481639928698751,0.005673939873749122,0.9961805555555555,0.0022636119462508893,0.9446308724832214,0.020169153154649875,0.00930024591996418,0.002331334772055528,0.9545888860950464,0.006935530101306237
rf,s0,0.05,0.9529411764705882,0.003334810505146139,0.9975694444444445,0.001979471224130437,0.9815436241610739,0.004891738166816518,0.01086519114688124,0.001706193784040403,0.9636912245411114,0.0028757311451839424
rf,s0,0.1,0.9566488413547237,0.0019297495333654576,0.996875,0.0014525347682882877,0.9882550335570469,0.0031389743177633444,0.012221477010209359,0.0016198722050290153,0.9672114659290922,0.0014509970375914507
rf,s0,0.2,0.9612834224598931,0.003072992789947962,0.996875,0.0014525347682883194,0.9966442953020135,0.002054941059381924,0.0160667709963484,0.0014881867103499961,0.971737490570782,0.0023761296766260697
rf,s0,0.5,0.9700534759358289,0.00344725126663345,0.9975694444444445,0.0015528249843748422,0.9986577181208054,0.00140379199082899,0.023906401371190038,0.002949194782593293,0.9783253708825749,0.0026034054021714806
xgboost,control,0.0,0.9503743315508022,0.005168725760980968,0.9961805555555555,0.0019018144357818255,0.3409395973154362,0.03316465209997251,0.00836127878381394,0.001704565580802867,0.8656776464671863,0.008252633935018761
xgboost,s0,0.005,0.9517290552584671,0.004813494376062806,0.9958333333333333,0.0015528249843748485,0.8382550335570469,0.04942692165873116,0.008659363588941,0.0016064461917505391,0.9411113904953483,0.008575740003939552
xgboost,s0,0.01,0.9530124777183602,0.005661606425983679,0.9954861111111111,0.0015528249843748437,0.938255033557047,0.015577844816691494,0.00879350175124818,0.0013639619358911507,0.9569524767412622,0.0052845511838455605
xgboost,s0,0.02,0.9545098039215686,0.004975785047377584,0.9958333333333333,0.0019794712241304347,0.9671140939597317,0.007274994425731137,0.00918101199791336,0.0020206104574209123,0.96238370631129,0.004638476744552136
xgboost,s0,0.05,0.9549376114081998,0.005812254504083475,0.9961805555555555,0.0019018144357818099,0.9835570469798658,0.003001433526845282,0.0106565317832923,0.0027992607453599886,0.9651998994216747,0.0043754461622642436
xgboost,s0,0.1,0.9575044563279856,0.005367757587198687,0.9958333333333333,0.0009509072178909379,0.9899328859060403,0.004891738166816484,0.011446456516879,0.002826702231038611,0.9679155142066886,0.004103269029089539
xgboost,s0,0.2,0.9632798573975044,0.0051416060969182945,0.9965277777777779,0.0021262931794993,0.9936241610738256,0.0007503583817113615,0.013860943438408161,0.003921755658554194,0.9726426954991199,0.0037523601708735533
xgboost,s0,0.5,0.9735472370766489,0.004765729744157209,0.9975694444444445,0.00232923747656227,0.9973154362416107,0.0009189975797067378,0.02366793352708842,0.0065978834425907485,0.9805883832034198,0.003636848827108777
