dataset,jitter,n_poison_rows,disjoint_from_eval_benign_rows_checked,nn_mean,nn_p0,nn_p1,nn_p5,nn_p25,nn_p50,nn_p75,nn_p95,nn_p99,nn_p100
synthetic,0.0,5000,5000,0.4950850201084986,0.307649805002197,0.36684854955606433,0.4002763433696134,0.45297040760400453,0.4911031993857429,0.5322736288258952,0.6042111607534303,0.6547345231747292,0.7618841494350853
synthetic,0.005,5000,5000,0.49508619550218463,0.3083598254438828,0.3665275120135226,0.4007468223658933,0.45289570573387555,0.49101776311461287,0.5322189788300412,0.6042578460688253,0.6553849517140321,0.7614395618461257
synthetic,0.01,5000,5000,0.4951070945740068,0.3091110170371644,0.3663782203780822,0.4006332429130084,0.45278434728797434,0.4910975049491908,0.5322826101917557,0.6041869445815565,0.6556008958272777,0.765131929225318
synthetic,0.02,5000,5000,0.49521501472233487,0.31005160235922574,0.36820563738511736,0.40049967217797616,0.4527798868405983,0.4909708891517831,0.5326379963827145,0.6044420378599068,0.6554640722162757,0.7734154304949452
synthetic,0.03,5000,5000,0.49539891214892706,0.3111921251686236,0.3677091566284572,0.40054371054690563,0.4530876469156874,0.4910527358670979,0.5329178056691859,0.6046342225404814,0.6558127471394785,0.7818108967223635
synthetic,0.05,5000,5000,0.49600362381708385,0.3104354711349363,0.36701742655356445,0.401476522350964,0.4536701386614049,0.4917683409241621,0.5331381257576755,0.6043821547160897,0.6570151314985927,0.7989235176548952
synthetic,0.07,5000,5000,0.49696874649876016,0.303679451792245,0.36698825659426426,0.4027875577342526,0.4545340514005987,0.49242316703203304,0.5341970766935272,0.6069490033719556,0.6567470639316518,0.8164423870528346
synthetic,0.1,5000,5000,0.4990978982538627,0.29548533920617626,0.36690785695470624,0.40473027078873997,0.45645551532806206,0.49415246516133393,0.5372613732614977,0.6092486487092228,0.66051452348518,0.8434269220804046
synthetic,0.2,5000,5000,0.5116216335405466,0.2869371590959088,0.3763880591031937,0.41265013839787623,0.46646136036519475,0.5072467845989553,0.5523072401082171,0.6277603679233121,0.675221317800597,0.916603115752442
synthetic,0.3,5000,5000,0.5323160787422013,0.3080136291962257,0.39017490715314995,0.427151594271121,0.4844024307362397,0.5288226102148779,0.5749813917092824,0.6545188802358922,0.7075202803270715,0.9935256019245211
synthetic,0.5,5000,5000,0.5965467117746227,0.3367442778177695,0.42907995429801504,0.4707535278231517,0.537946280860731,0.5918101036157566,0.6503130990652889,0.7409239947143619,0.8094895837082594,1.1622462245842402
synthetic,0.7,5000,5000,0.6858721047843607,0.3786944492460276,0.4765610379418626,0.5279981718607897,0.6158460304522795,0.6795107862361555,0.7520260090209461,0.8591882062549983,0.9463309602578357,1.3311012473814354
synthetic,1.0,5000,5000,0.8551641290975791,0.46431188728823736,0.565899846637539,0.6400905851564045,0.7575307826305404,0.8492919198929061,0.9434068612232833,1.0929651601418973,1.2063142294154523,1.5999012085705253
synthetic,1.5,5000,5000,1.1981420635071163,0.5899304119841351,0.7626356623221985,0.8760834556077851,1.05222651448276,1.1913263726525283,1.3339908710348183,1.5494862849604876,1.7185775985671983,2.1120108588604056
