partition,class,feature,n,mean,std,min,p50,p99,max
seed_train,all,flow_duration,428862,20102334.966676928,38369059.92361284,1.0,174517.0,118702401.92,119999984.0
seed_train,all,fwd_packets,428862,10.792858775083827,57.86097236389719,1.0,4.0,94.0,22818.0
seed_train,all,bwd_packets,428862,11.66532824078608,73.85504491006797,0.0,2.0,124.0,28429.0
seed_train,all,fwd_bytes,428862,989.8236542290994,6709.584599919013,0.0,142.0,11912.390000000014,2428415.0
seed_train,all,bwd_bytes,428862,11604.691520815553,139157.9293126364,0.0,318.0,184959.97000000032,52923444.0
seed_train,all,fwd_pkt_len_max,428862,337.4506601191059,623.4220219665908,0.0,56.0,2903.390000000014,24820.0
seed_train,all,fwd_pkt_len_min,428862,20.697560054283198,40.9404224973345,0.0,0.0,78.0,2293.0
seed_train,all,fwd_pkt_len_mean,428862,75.16857409906657,131.8720874069052,0.0,45.0,562.4877880859378,4672.0
seed_train,all,bwd_pkt_len_max,428862,802.1581161305968,1077.9097306956,0.0,169.0,4380.0,11680.0
seed_train,all,bwd_pkt_len_min,428862,56.07968297494299,81.04429092735018,0.0,2.0,284.0,2896.0
seed_train,all,bwd_pkt_len_mean,428862,299.6225892494857,382.21370877530455,0.0,133.5,1736.245756835938,3735.73681640625
seed_train,all,flow_bytes_per_s,428862,388138.4333529839,7039178.496978864,0.0,3527.7225341796875,2669340.330000011,2071000064.0
seed_train,all,flow_pkts_per_s,428862,6548.60576882036,55565.14360546997,0.016708893701434135,40.546566009521484,62500.0,3000000.0
seed_train,all,flow_iat_mean,428862,1361030.2376412516,4513665.314008584,0.5,32585.533203125,28513057.38000005,120000000.0
seed_train,all,flow_iat_std,428862,2691864.1326717683,7936845.016808889,0.0,35909.025390625,49077822.160000086,84800264.0
seed_train,all,flow_iat_max,428862,7274263.2915529935,17644392.559663,1.0,99387.0,93200000.0,120000000.0
seed_train,all,flow_iat_min,428862,27393.54080566709,879493.4037041569,0.0,3.0,265286.29000000015,120000000.0
seed_train,all,fwd_iat_mean,428862,3261443.019387261,12753087.708350804,0.0,14851.96875,83596510.80000009,120000000.0
seed_train,all,bwd_iat_mean,428862,3237769.563075191,12769424.844851874,0.0,3612.4615478515625,83201896.96000007,120000000.0
seed_train,all,syn_flag_count,428862,0.03173748198721267,0.17530035431887755,0.0,0.0,1.0,1.0
seed_train,all,psh_flag_count,428862,0.4384324094930304,0.4961949534196878,0.0,0.0,1.0,1.0
seed_train,all,ack_flag_count,428862,0.09286437128959898,0.2902422778207656,0.0,0.0,1.0,1.0
seed_train,all,down_up_ratio,428862,0.6440696541078482,0.5690270918782341,0.0,1.0,2.0,108.0
